EC / List No.,CAS No.,Name,Registration Type,Submission Type,Total Tonnage Band,Dossier ID,Link
233-732-6,10339-55-6,"3,7-dimethylnona-1,6-dien-3-ol",Full,Joint Submission,"1,000 - 10,000 tonnes per annum",DISS-dcedeab7-7142-4c65-e044-00144f67d031,Dossier
233-739-4,10341-03-4,ditetradecyl fumarate,Full,Joint Submission,"100 - 1,000 tonnes per annum",DISS-dffb4072-e367-47ae-e044-00144f67d031,Dossier
233-749-9,10343-61-0,dititanium tris(sulphate),Intermediate,Joint Submission,Intermediate Use Only,DISS-db9a720d-da1f-5779-e044-00144f67d031,Dossier
233-786-0,10361-29-2,ammonium carbonate,Full,Joint Submission,"100 - 1,000 tonnes per annum",DISS-e18edfe9-02be-58ce-e044-00144f67d031,Dossier
233-786-0,10361-29-2,ammonium carbonate,Intermediate,Individual Submission,Intermediate Use Only,DISS-9eb7d522-3756-69ce-e044-00144f67d031,Dossier
233-788-1,10361-37-2,barium chloride,Full,Joint Submission,"10,000 - 100,000 tonnes per annum",DISS-98765ef5-2297-0f18-e044-00144f67d031,Dossier
233-790-2,10361-43-0,bismuth trihydroxide,Full,Joint Submission,10 - 100 tonnes per annum,DISS-db99d7fc-d3a0-0f95-e044-00144f67d031,Dossier
233-791-8,10361-44-1,bismuth trinitrate,Full,Joint Submission,"1,000 - 10,000 tonnes per annum",DISS-9ebca0b9-b139-3892-e044-00144f67d031,Dossier
233-791-8,10361-44-1,bismuth trinitrate,Intermediate,Individual Submission,Intermediate Use Only,DISS-e7627168-f6fb-63fd-e044-00144f67d031,Dossier
233-796-5,10361-80-5,praseodymium trinitrate,Intermediate,Joint Submission,Intermediate Use Only,DISS-dffb4072-e2e8-47ae-e044-00144f67d031,Dossier
233-797-0,10361-82-7,samarium (III) chloride hexahydrate,Full,Joint Submission,1 + tonnes per annum,DISS-e18edfe9-028a-58ce-e044-00144f67d031,Dossier
233-802-6,10361-93-0,yttrium trinitrate,Intermediate,Joint Submission,Intermediate Use Only,DISS-dff58f8f-e942-55b9-e044-00144f67d031,Dossier
233-820-4,10377-48-7,lithium sulphate,Full,Joint Submission,1 - 10 tonnes per annum,DISS-dcee1fa2-7a55-64b0-e044-00144f67d031,Dossier
233-823-0,10377-52-3,trilithium orthophosphate,Intermediate,Individual Submission,Intermediate Use Only,DISS-d7f368a7-cd9d-3dd6-e044-00144f67d031,Dossier
233-826-7,10377-60-3,magnesium nitrate,Full,Joint Submission,"100,000 - 1,000,000 tonnes per annum",DISS-9eb47a60-939e-0044-e044-00144f67d031,Dossier
